CASRN	Curated.name	DTXSID	Original SMILES	Original InChIKey	QSAR Ready SMILES	LLNA Binary hazard reference classification	LLNA Potency reference subcategorization	Reference
62-53-3	Aniline	DTXSID8020090	NC1=CC=CC=C1	InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2	NC1=CC=CC=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
105-13-5	Anisyl alcohol	DTXSID6044357	COC1=CC=C(CO)C=C1	InChI=1S/C8H10O2/c1-10-8-4-2-7(6-9)3-5-8/h2-5,9H,6H2,1H3	COC1=CC=C(CO)C=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
5462-06-6	2-(p-Anisyl)propanal	DTXSID6044567	COC1=CC=C(CC(C)C=O)C=C1	InChI=1/C11H14O2/c1-9(8-12)7-10-3-5-11(13-2)6-4-10/h3-6,8-9H,7H2,1-2H3	COC1=CC=C(CC(C)C=O)C=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
478695-70-4	Applelide	DTXSID10889186	CCOC(=O)CC(=O)OC(C)C1CCCC(C)(C)C1	InChI=1/C15H26O4/c1-5-18-13(16)9-14(17)19-11(2)12-7-6-8-15(3,4)10-12/h11-12H,5-10H2,1-4H3	CCOC(=O)CC(=O)OC(C)C1CCCC(C)(C)C1	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
1675-54-3	BADGE	DTXSID6024624	CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1	InChI=1/C21H24O4/c1-21(2,15-3-7-17(8-4-15)22-11-19-13-24-19)16-5-9-18(10-6-16)23-12-20-14-25-20/h3-10,19-20H,11-14H2,1-2H3	CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
20048-27-5	Bandrowski’s base	DTXSID9044031	NC1=CC=C(C=C1)\N=C1\C=C(N)/C(/C=C1N)=N\C1=CC=C(N)C=C1	InChI=1S/C18H18N6/c19-11-1-5-13(6-2-11)23-17-9-16(22)18(10-15(17)21)24-14-7-3-12(20)4-8-14/h1-10H,19-22H2/b23-17-,24-18-	NC1=CC=C(C=C1)N=C1CC(=N)C(CC1=N)=NC1=CC=C(N)C=C1	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
2634-33-5	1,2-Benzisothiazol-3(2H)-one	DTXSID5032523	O=C1NSC2=C1C=CC=C2	InChI=1S/C7H5NOS/c9-7-5-3-1-2-4-6(5)10-8-7/h1-4H,(H,8,9)	O=C1NSC2=C1C=CC=C2	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
106-51-4	p-Benzoquinone	DTXSID6020145	O=C1C=CC(=O)C=C1	InChI=1S/C6H4O2/c7-5-1-2-6(8)4-3-5/h1-4H	O=C1C=CC(=O)C=C1	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
100-51-6	Benzyl alcohol	DTXSID5020152	OCC1=CC=CC=C1	InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2	OCC1=CC=CC=C1	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
120-51-4	Benzyl benzoate	DTXSID8029153	O=C(OCC1=CC=CC=C1)C1=CC=CC=C1	InChI=1S/C14H12O2/c15-14(13-9-5-2-6-10-13)16-11-12-7-3-1-4-8-12/h1-10H,11H2	O=C(OCC1=CC=CC=C1)C1=CC=CC=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
100-39-0	Benzyl bromide	DTXSID8024658	BrCC1=CC=CC=C1	InChI=1S/C7H7Br/c8-6-7-4-2-1-3-5-7/h1-5H,6H2	BrCC1=CC=CC=C1	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
85-68-7	Benzyl butyl phthalate	DTXSID3020205	CCCCOC(=O)C1=C(C=CC=C1)C(=O)OCC1=CC=CC=C1	InChI=1S/C19H20O4/c1-2-3-13-22-18(20)16-11-7-8-12-17(16)19(21)23-14-15-9-5-4-6-10-15/h4-12H,2-3,13-14H2,1H3	CCCCOC(=O)C1=C(C=CC=C1)C(=O)OCC1=CC=CC=C1	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
103-41-3	Benzyl cinnamate	DTXSID3041663	O=C(OCC1=CC=CC=C1)C=CC1=CC=CC=C1	InChI=1S/C16H14O2/c17-16(12-11-14-7-3-1-4-8-14)18-13-15-9-5-2-6-10-15/h1-12H,13H2	O=C(OCC1=CC=CC=C1)C=CC1=CC=CC=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
118-58-1	Benzyl salicylate	DTXSID1024598	OC1=C(C=CC=C1)C(=O)OCC1=CC=CC=C1	InChI=1S/C14H12O3/c15-13-9-5-4-8-12(13)14(16)17-10-11-6-2-1-3-7-11/h1-9,15H,10H2	OC1=C(C=CC=C1)C(=O)OCC1=CC=CC=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
2426-08-6	BGE	DTXSID9024691	CCCCOCC1CO1	InChI=1/C7H14O2/c1-2-3-4-8-5-7-6-9-7/h7H,2-6H2,1H3	CCCCOCC1CO1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
1565-94-2	Bis-GMA	DTXSID7044841	CC(=C)C(=O)OCC(O)COC1=CC=C(C=C1)C(C)(C)C1=CC=C(OCC(O)COC(=O)C(C)=C)C=C1	InChI=1/C29H36O8/c1-19(2)27(32)36-17-23(30)15-34-25-11-7-21(8-12-25)29(5,6)22-9-13-26(14-10-22)35-16-24(31)18-37-28(33)20(3)4/h7-14,23-24,30-31H,1,3,15-18H2,2,4-6H3	CC(=C)C(=O)OCC(O)COC1=CC=C(C=C1)C(C)(C)C1=CC=C(OCC(O)COC(=O)C(C)=C)C=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
18127-01-0	Bourgeonal	DTXSID6044808	CC(C)(C)C1=CC=C(CCC=O)C=C1	InChI=1S/C13H18O/c1-13(2,3)12-8-6-11(7-9-12)5-4-10-14/h6-10H,4-5H2,1-3H3	CC(C)(C)C1=CC=C(CCC=O)C=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
111-25-1	1-Bromohexane	DTXSID4021929	CCCCCCBr	InChI=1S/C6H13Br/c1-2-3-4-5-6-7/h2-6H2,1H3	CCCCCCBr	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
35691-65-7	Bromothalonil	DTXSID3024944	BrCC(Br)(CCC#N)C#N	InChI=1/C6H6Br2N2/c7-4-6(8,5-10)2-1-3-9/h1-2,4H2	BrCC(Br)(CCC#N)C#N	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
71-36-3	Butan-1-ol	DTXSID1021740	CCCCO	InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3	CCCCO	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
112-07-2	2-Butoxyethyl acetate	DTXSID1026904	CCCCOCCOC(C)=O	InChI=1S/C8H16O3/c1-3-4-5-10-6-7-11-8(2)9/h3-7H2,1-2H3	CCCCOCCOC(C)=O	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
141-32-2	Butyl acrylate	DTXSID6024676	CCCCOC(=O)C=C	InChI=1S/C7H12O2/c1-3-5-6-9-7(8)4-2/h4H,2-3,5-6H2,1H3	CCCCOC(=O)C=C	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
6485-40-1	L-Carvone	DTXSID7041413	CC(=C)[C@@H]1CC=C(C)C(=O)C1	InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4,9H,1,5-6H2,2-3H3/t9-/m1/s1	CC(=C)C1CC=C(C)C(=O)C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
25646-71-3	CD-3	DTXSID2027882	OS(O)(=O)=O.OS(O)(=O)=O.OS(O)(=O)=O.CCN(CCNS(C)(=O)=O)C1=CC(C)=C(N)C=C1.CCN(CCNS(C)(=O)=O)C1=CC(C)=C(N)C=C1	InChI=1S/2C12H21N3O2S.3H2O4S/c2*1-4-15(8-7-14-18(3,16)17)11-5-6-12(13)10(2)9-11;3*1-5(2,3)4/h2*5-6,9,14H,4,7-8,13H2,1-3H3;3*(H2,1,2,3,4)	CCN(CCNS(C)(=O)=O)C1=CC(C)=C(N)C=C1	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
4903-09-7	3-Chloro-p-anisaldehyde	DTXSID50197671	COC1=C(Cl)C=C(C=O)C=C1	InChI=1S/C8H7ClO2/c1-11-8-3-2-6(5-10)4-7(8)9/h2-5H,1H3	COC1=C(Cl)C=C(C=O)C=C1	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
1897-45-6	Chlorothalonil	DTXSID0020319	ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl	InChI=1S/C8Cl4N2/c9-5-3(1-13)6(10)8(12)7(11)4(5)2-14	ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
104-55-2	Cinnamaldehyde	DTXSID1024835	O=CC=CC1=CC=CC=C1	InChI=1S/C9H8O/c10-8-4-7-9-5-2-1-3-6-9/h1-8H	O=CC=CC1=CC=CC=C1	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
104-54-1	Cinnamic alcohol	DTXSID9041491	OCC=CC1=CC=CC=C1	InChI=1S/C9H10O/c10-8-4-7-9-5-2-1-3-6-9/h1-7,10H,8H2	OCC=CC1=CC=CC=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
5392-40-5	Citral	DTXSID6024836	CC(C)=CCCC(C)=CC=O	InChI=1S/C10H16O/c1-9(2)5-4-6-10(3)7-8-11/h5,7-8H,4,6H2,1-3H3	CC(C)=CCCC(C)=CC=O	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
106-22-9	Citronellol	DTXSID3026726	CC(CCO)CCC=C(C)C	InChI=1/C10H20O/c1-9(2)5-4-6-10(3)7-8-11/h5,10-11H,4,6-8H2,1-3H3	CC(CCO)CCC=C(C)C	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
637-07-0	Clofibrate	DTXSID3020336	CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1	InChI=1S/C12H15ClO3/c1-4-15-11(14)12(2,3)16-10-7-5-9(13)6-8-10/h5-8H,4H2,1-3H3	CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
103-95-7	Cyclamen aldehyde	DTXSID2044769	CC(CC1=CC=C(C=C1)C(C)C)C=O	InChI=1/C13H18O/c1-10(2)13-6-4-12(5-7-13)8-11(3)9-14/h4-7,9-11H,8H2,1-3H3	CC(CC1=CC=C(C=C1)C(C)C)C=O	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
3913-81-3	trans-Dec-2-enal	DTXSID5047035	CCCCCCC\C=C\C=O	InChI=1S/C10H18O/c1-2-3-4-5-6-7-8-9-10-11/h8-10H,2-7H2,1H3/b9-8+	CCCCCCCC=CC=O	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
134-62-3	DEET	DTXSID2021995	CCN(CC)C(=O)C1=CC=CC(C)=C1	InChI=1S/C12H17NO/c1-4-13(5-2)12(14)11-8-6-7-10(3)9-11/h6-9H,4-5H2,1-3H3	CCN(CC)C(=O)C1=CC=CC(C)=C1	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
431-03-8	Diacetyl	DTXSID6021583	CC(=O)C(C)=O	InChI=1S/C4H6O2/c1-3(5)4(2)6/h1-2H3	CC(=O)C(C)=O	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
615-50-9	2,5-Diaminotoluene sulfate	DTXSID50872532	[O-]S([O-])(=O)=O.CC1=C([NH3+])C=CC([NH3+])=C1	InChI=1S/C7H10N2.H2O4S/c1-5-4-6(8)2-3-7(5)9;1-5(2,3)4/h2-4H,8-9H2,1H3;(H2,1,2,3,4)	CC1=C(N)C=CC(N)=C1	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
94-36-0	Dibenzoyl peroxide	DTXSID6024591	O=C(OOC(=O)C1=CC=CC=C1)C1=CC=CC=C1	InChI=1S/C14H10O4/c15-13(11-7-3-1-4-8-11)17-18-14(16)12-9-5-2-6-10-12/h1-10H	O=C(OOC(=O)C1=CC=CC=C1)C1=CC=CC=C1	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
103-50-4	Dibenzyl ether	DTXSID5025819	C(OCC1=CC=CC=C1)C1=CC=CC=C1	InChI=1S/C14H14O/c1-3-7-13(8-4-1)11-15-12-14-9-5-2-6-10-14/h1-10H,11-12H2	C(OCC1=CC=CC=C1)C1=CC=CC=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
84-74-2	Dibutyl phthalate	DTXSID2021781	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
613-29-6	N,N-Dibutylaniline	DTXSID8060618	CCCCN(CCCC)C1=CC=CC=C1	InChI=1S/C14H23N/c1-3-5-12-15(13-6-4-2)14-10-8-7-9-11-14/h7-11H,3-6,12-13H2,1-2H3	CCCCN(CCCC)C1=CC=CC=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
75-35-4	1,1-Dichloroethene	DTXSID8021438	ClC(Cl)=C	InChI=1S/C2H2Cl2/c1-2(3)4/h1H2	ClC(Cl)=C	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
141-05-9	Diethyl maleate	DTXSID8020464	CCOC(=O)\C=C/C(=O)OCC	InChI=1S/C8H12O4/c1-3-11-7(9)5-6-8(10)12-4-2/h5-6H,3-4H2,1-2H3/b6-5-	CCOC(=O)C=CC(=O)OCC	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
84-66-2	Diethyl phthalate	DTXSID7021780	CCOC(=O)C1=CC=CC=C1C(=O)OCC	InChI=1S/C12H14O4/c1-3-15-11(13)9-7-5-6-8-10(9)12(14)16-4-2/h5-8H,3-4H2,1-2H3	CCOC(=O)C1=CC=CC=C1C(=O)OCC	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
64-67-5	Diethyl sulfate	DTXSID1024045	CCOS(=O)(=O)OCC	InChI=1S/C4H10O4S/c1-3-7-9(5,6)8-4-2/h3-4H2,1-2H3	CCOS(=O)(=O)OCC	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
119-84-6	3,4-Dihydrocoumarin	DTXSID2020474	O=C1CCC2=C(O1)C=CC=C2	InChI=1S/C9H8O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-4H,5-6H2	O=C1CCC2=C(O1)C=CC=C2	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
2785-87-7	Dihydroeugenol	DTXSID2047199	CCCC1=CC(OC)=C(O)C=C1	InChI=1S/C10H14O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h5-7,11H,3-4H2,1-2H3	CCCC1=CC(OC)=C(O)C=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
624-49-7	Dimethyl fumarate	DTXSID4060787	COC(=O)\C=C\C(=O)OC	InChI=1S/C6H8O4/c1-9-5(7)3-4-6(8)10-2/h3-4H,1-2H3/b4-3+	NA	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
109-55-7	3-(Dimethylamino)propylamine	DTXSID5025102	CN(C)CCCN	InChI=1S/C5H14N2/c1-7(2)5-3-4-6/h3-6H2,1-2H3	CN(C)CCCN	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
886-38-4	Diphenylcyclopropenone	DTXSID2046545	O=C1C(=C1C1=CC=CC=C1)C1=CC=CC=C1	InChI=1S/C15H10O/c16-15-13(11-7-3-1-4-8-11)14(15)12-9-5-2-6-10-12/h1-10H	O=C1C(=C1C1=CC=CC=C1)C1=CC=CC=C1	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
67-68-5	DMSO	DTXSID2021735	CS(C)=O	InChI=1S/C2H6OS/c1-4(2)3/h1-2H3	CS(C)=O	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
885-62-1	DNBS, sodium salt	DTXSID8061262	[Na+].[O-][N+](=O)C1=CC(=C(C=C1)S([O-])(=O)=O)[N+]([O-])=O	InChI=1S/C6H4N2O7S.Na/c9-7(10)4-1-2-6(16(13,14)15)5(3-4)8(11)12;/h1-3H,(H,13,14,15);/q;+1/p-1	OS(=O)(=O)C1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
